cancer,infiltrates,rho,p,adj.p
LUAD (n=516),T cell CD8+_QUANTISEQ,-0.0750364390446629,0.0960730956391275,0.165048651482604
LUAD (n=516),T cell CD8+_TIMER,-0.0826968901399575,0.066557356492566,0.122173777671286
LUAD (n=516),T cell CD8+_XCELL,-0.130118236958378,0.00380280089295249,0.0141548699904343
LUAD (n=516),T cell NK_XCELL,-0.252004070967255,1.40313851295077e-08,9.40102803677013e-07
LUAD (n=516),T cell regulatory (Tregs)_CIBERSORT,-0.243365830526415,4.44058107071244e-08,1.98345954491822e-06
LUAD (n=516),T cell regulatory (Tregs)_CIBERSORT-ABS,-0.238105929482736,8.76959205735401e-08,2.93781333921359e-06
LUAD (n=516),T cell regulatory (Tregs)_CONSENSUS_TME,-0.144429708959945,0.00130174490107141,0.00528587323465362
LUAD (n=516),T cell regulatory (Tregs)_QUANTISEQ,-0.18587284834288,3.2841213984286e-05,0.000258866039640842
LUAD (n=516),T cell regulatory (Tregs)_XCELL,-0.0477839129530057,0.289651359229125,0.409333468558549
LUAD (n=516),Th1_ImmuCellAI,-0.0284154156097026,0.529054394236205,0.656419340996772
LUAD (n=516),Th17_ImmuCellAI,0.028889367894362,0.522202924960964,0.656419340996772
LUAD (n=516),Th2_ImmuCellAI,0.0887350276185487,0.0489391114939381,0.0936834420026815
LUAD (n=516),Tr1_ImmuCellAI,0.00224148769084325,0.960407016095595,0.978866252937119
